cni;nom;prenom;telephone;dateNaiss;passport;permis;genre;crashDate;description;persontrauma;consumalcohol;consumdrugs;poids;temperature;pouls;tension
728842;Chickie;Bivins;679893003;2001-12-28;210468;404364;3;1977-05-13 07:05;"O ";2;non;oui;123;19;159;9
733418;Nessie;Barbey;653076337;2010-03-10;126440;558272;2;1984-03-24 23:03;Ks;3;non;oui;47;34;186;13
1035013;Alisha;Therine;670616701;1971-04-27;486969;216847;1;2011-06-09 01:06;rW;1;non;oui;61;31;193;5
296865;Winny;Kermit;673705840;1991-10-02;542581;762220;3;2010-02-08 19:02;xR;2;non;non;36;46;59;12
699863;Melina;Mich;652966601;1991-09-06;557981;710315;3;1972-06-19 03:06;Ph;3;oui;non;129;27;25;6
584016;Jemie;Syd;677515036;2018-06-07;307665;793704;3;1973-09-16 02:09;fc;3;oui;oui;141;30;10;18
868247;Deedee;Leopold;660914331;1970-03-30;719794;853828;3;2006-09-22 11:09;jL;2;non;non;84;44;134;23
74593;Albertina;Lorenz;657059274;1985-04-11;630129;313377;2;1989-01-25 13:01;Fp;3;non;non;139;17;18;18
596020;Ardys;Jotham;662016357;2006-05-06;108349;346693;2;1970-03-06 16:03;oh;3;oui;oui;130;29;22;12
832688;Margarette;Edee;681412722;1981-10-17;323209;436875;3;1999-04-30 05:04;Yg;1;oui;non;97;47;160;5
990810;Gianina;Sammons;673882888;1993-10-13;372887;324412;3;1997-03-09 15:03;SA;3;non;non;43;21;195;20
806099;Melina;Richers;689390860;1985-12-28;902791;843778;1;1999-04-12 15:04;nc;3;non;oui;44;28;32;10
572306;Gerrie;Caitlin;655499448;1983-07-25;478654;957261;2;1997-09-03 16:09;XX;3;non;oui;150;45;82;20
428684;Elie;Erminia;654830557;1995-11-30;950074;536550;3;2007-12-25 06:12;ci;2;non;oui;68;1;195;14
986136;Kenna;Brenn;667042325;2006-07-07;330742;715152;3;1989-02-28 10:02;IK;2;oui;oui;139;22;95;5
176727;Donnie;Teryn;669141297;2010-05-10;291854;443447;3;1985-06-19 10:06;DQ;1;non;oui;111;25;47;4
962842;Gilligan;Roarke;686876446;1997-05-26;190748;661545;3;2017-07-29 03:07;qU;3;oui;oui;77;33;128;5
445922;Perry;Ellerey;668856375;1982-05-14;207515;386473;3;1973-07-21 05:07;Fq;1;non;non;111;5;114;24
123344;Ginnie;Anis;656336584;2019-08-12;552374;183021;1;2013-07-07 10:07;sp;1;non;oui;106;27;51;23
624902;Ursulina;Vins;657471192;2005-10-08;943751;423646;3;1982-03-08 16:03;DY;1;oui;oui;44;27;86;1
316523;Courtnay;Pattin;699899706;1998-08-21;273836;994748;2;2002-12-03 15:12;PL;1;non;oui;148;47;132;17
954835;Ginnie;Winthorpe;684207929;2011-03-21;494410;779796;2;2013-05-11 15:05;gc;1;oui;non;135;15;87;12
830501;Esmeralda;Cookie;684169142;1994-02-13;779825;920655;1;2016-11-27 03:11;sT;1;non;non;38;28;65;8
168163;Joleen;Nester;688170599;1979-05-12;607774;329230;2;2015-12-09 20:12;qN;1;oui;non;45;31;193;11
417549;Corina;Wattenberg;656019513;1979-10-29;755425;695140;1;2018-10-19 18:10;YQ;2;oui;oui;124;30;168;16
906883;Nelle;Johnsson;666950163;1983-07-07;751703;440216;1;2002-03-06 15:03;Yp;3;oui;oui;75;5;23;13
825641;Minne;Corilla;672483128;2009-07-06;507925;660358;2;2001-12-02 13:12;"o ";1;oui;non;70;13;145;29
756586;Cyb;Koehler;663980567;2005-11-08;397038;607005;1;1982-08-15 15:08;" z";2;non;non;93;37;178;25
817350;Lolita;Fancie;663852719;1990-10-16;982235;320253;2;1997-03-17 10:03;go;1;non;oui;116;50;155;19
